,Device_name,Company,Price,Body_location,Components,Power,Connectivity,Compatibility,Primary_Application
159,Iota,Iotera,138.00,Worn on the Body (Anywhere),"GPS,Accelerometer,Audio Speaker,Button Interface,Thermometer,Temperature Sensor",Rechargeable Battery,Bluetooth,Android,"Pets Animals, Lifestyle & Industrial"
160,IriverOn,Iriver Ltd,199.99,Worn on the Ear,"Heart Rate Monitor,Clock,Accelerometer",,Bluetooth,iOS,Fitness
161,Era,Jawbone,65.00,Worn on the Ear,"Microphone,Audio Speaker,Button Interface,USB",Rechargeable Battery,Bluetooth,Blackberry,Lifestyle
162,UP Move,Jawbone,49.99,Worn on the Body (Anywhere),"Accelerometer,LED Indicator,Clock",Disposable Battery,Bluetooth,Android,Lifestyle & Fitness
163,UP2,Jawbone,119.99,Worn on the Wrist,"Accelerometer,LED Indicator",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
164,UP3,Jawbone,179.99,Worn on the Wrist,"Vibrator,Accelerometer,LED Indicator,Skin Impedance Sensor,Thermometer,Temperature Sensor",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
165,Freedom Sprint,JayBird,75.00,Worn on the Ear,"Button Interface,LED Indicator,Microphone,Audio Speaker,USB",Rechargeable Battery,Bluetooth,Windows Mobile,Lifestyle & Entertainment
166,Athletics,Jolt,99.00,Worn on the Head,"Accelerometer,Vibrator,USB",Rechargeable Battery,Bluetooth,iOS,Fitness
167,Jumpy,Jumpy,99.00,Worn on the Wrist,"Microphone,Audio Speaker,Accelerometer,Gyroscope,LED Display",Rechargeable Battery,WiFi,iOS,"Entertainment, Gaming & Lifestyle"
168,Kapture,Kapture,149.00,Worn on the Wrist,"Microphone,Touch Interface,Accelerometer,LED Indicator,Vibrator",Rechargeable Battery,Bluetooth,Android,Entertainment & Lifestyle
169,Patch,Kenzen,,Worn on the Body (Anywhere),"ECG Sensor,Accelerometer,Capacitive Sensor,EKG Sensor",Rechargeable Battery,Bluetooth,Android,Medical
170,KiGO Watch,Watcher Enterprises B.V.,202.19,Worn on the Wrist,"GPS,Water Resistant,Watch,OLED Display,Accelerometer,Gyroscope,Audio Speaker,Buzzer,Button Interface,Infrared Sensor,USB",Rechargeable Battery,Cellular Network,Android,Lifestyle
171,TUNE,Kinematix,200.00,Worn on the Feet,"Pressure Sensor,Accelerometer",Rechargeable Battery,Bluetooth,Android Wear,Fitness
172,Kit Wristband,KMS,329.00,Worn on the Wrist,"LED Display,Microphone,Audio Speaker",Rechargeable Battery,WiFi,Undisclosed,Medical & Lifestyle
173,Pro Mobile Display,Laster Technologies,,Worn on the Head,"Gyroscope,Accelerometer,GPS,Microphone,Magnetometer",Rechargeable Battery,Bluetooth,Android,Lifestyle
174,Leap Band,Leap Frog,49.99,Worn on the Wrist,"Audio Speaker,Button Interface",Rechargeable Battery,Undisclosed,Undisclosed,Entertainment
175,Lechal Shoe,Lechal,179.00,Worn on the Feet,Vibrator,Rechargeable Battery,Bluetooth,Android,Fitness & Lifestyle
176,LegSys,Biosensics,"2,750.00",Worn on the Legs,"Accelerometer,Gyroscope",Rechargeable Battery,Bluetooth,Windows Mobile,Medical
177,Pegasus Backpack,Leica Geosystems,,Worn on the Torso,"Camera,Accelerometer,Gyroscope,GPS,Depth Camera,USB",Rechargeable Battery,WiFi,Undisclosed,Industrial
178,Leikr,Leikr,349.00,Worn on the Wrist,"GPS,Buzzer,Clock,LCD Display,Button Interface,USB",Rechargeable Battery,ANT+,Android,Lifestyle & Fitness
179,G Watch,LG,199.00,Worn on the Wrist,"LCD Display,Accelerometer,Gyroscope,Magnetometer,Touch Interface,Clock,Vibrator,USB",Rechargeable Battery,Bluetooth,Android,Lifestyle
180,G Watch R,LG,300.00,Worn on the Wrist,"Accelerometer,Gyroscope,Barometer,Heart Rate Monitor",Rechargeable Battery,Bluetooth,Android,"Entertainment, Fitness & Lifestyle"
181,Gizmopal,LG,79.99,Worn on the Wrist,"Audio Speaker,Microphone,Button Interface,GPS",Rechargeable Battery,Cellular Network,Android,Lifestyle
182,Heart Rate Earphones,LG,,Worn on the Head,"Heart Rate Monitor,Audio Speaker",Rechargeable Battery,Bluetooth,Android,Fitness & Lifestyle
183,Lifeband Touch,LG,,Worn on the Wrist,"Accelerometer,OLED Display,Touch Interface,Clock",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
184,Watch Urbane,LG,296.00,Worn on the Wrist,"Accelerometer,Magnetometer,Gyroscope,Heart Rate Monitor,OLED Display,Touch Interface",Rechargeable Battery,WiFi,Android,Lifestyle
185,LITPro,NZN Labs Inc.,499.00,Worn on the Head,"GPS,Gyroscope,Accelerometer",Rechargeable Battery,Bluetooth,OSX,
186,Ring,Logbar Inc.,269.99,Worn on the Fingers,"Accelerometer,Touch Interface,Vibrator",Rechargeable Battery,Bluetooth,Windows Mobile,Lifestyle & Entertainment
187,Lumafit,Lumafit,99.00,Worn on the Ear,"Oximeter,Heart Rate Monitor,Button Interface",Rechargeable Battery,Bluetooth,Windows,Lifestyle
188,Back,LUMO Body Tech,149.95,Worn on the Waist,USB,Rechargeable Battery,Bluetooth,Android,Lifestyle
189,Lift,Lumo,69.00,Worn on the Shoulders & Chest,,Rechargeable Battery,Bluetooth,Android,Lifestyle
190,DK-40,Lumus,,Worn on the Head,"Accelerometer,Gyroscope,Magnetometer,Video Camera,DLP Display",Rechargeable Battery,Undisclosed,Android,Lifestyle
191,Martian Notifier,Martian,127.22,Worn on the Wrist,"Watch,OLED Display,Vibrator,Touch Interface,Button Interface,LED Indicator,USB",Rechargeable Battery,Bluetooth,iOS,Lifestyle
192,Co-Pilot,Maven Machines,,Worn on the Head,"Microphone,Accelerometer,Gyroscope,Magnetometer,Audio Speaker,Noise Suppression",Rechargeable Battery,Bluetooth,,Industrial
193,Mbody,Myontec,620.00,Worn on the Legs,"Heart Rate Monitor,Altimeter,Accelerometer,Muscle Contraction Sensor",Rechargeable Battery,Bluetooth,Android,Fitness & Medical
194,Smarting,mBrainTrain,"5,500.00",Worn on the Head,"EEG Monitor,Gyroscope,Accelerometer,USB",Rechargeable Battery,Bluetooth,Windows,Medical
195,meMINI,meMINI Ltd.,179.00,Worn on the Body (Anywhere),"Audio Speaker,Microphone,Video Camera,USB",Rechargeable Battery,Bluetooth,Android,Entertainment & Lifestyle
196,META 2 Augmented Reality Headset,META,949.00,Worn on the Head,"Accelerometer,Gyroscope,Magnetometer,DLP Display,Depth Camera,Video Camera,Gesture Interface,Audio Speaker",External Source,Proprietary,iOS,"Entertainment, Gaming, Lifestyle & Industrial"
197,Metria IH1,Vancive Medical Technologies,,Worn on the Arm,"Accelerometer,Galvanometer,Thermometer,Temperature Sensor,USB",Rechargeable Battery,,OSX,Fitness & Medical
198,MB Chronowing,Hewlett-Packard,349.99,Worn on the Wrist,"Watch,Vibrator,LCD Display",Rechargeable Battery,Bluetooth,Android,Lifestyle
199,Band,Microsoft,199.99,Worn on the Wrist,"Heart Rate Monitor,Accelerometer,Gyroscope,GPS,Ambient Light Sensor,Thermometer,Ultraviolet Light Sensor,Capacitive Sensor,Galvanometer,Microphone,Vibrator,Touch Interface,Clock,Button Interface,Temperature Sensor",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
200,Microsoft Band 2,Microsoft,299.99,Worn on the Wrist,"Accelerometer,Ambient Light Sensor,Barometer,Clock,GPS,Gyroscope,Heart Rate Monitor,Pedometer,Thermometer,Touch Interface,Vibrator,Ultraviolet Light Sensor,Capacitive Sensor,Galvanometer,Temperature Sensor",Rechargeable Battery,,Windows Mobile,Lifestyle
201,HoloLens,Microsoft,"3,000.00",,"Depth Camera,Microphone,Accelerometer,Gyroscope,Magnetometer,Ambient Light Sensor,Video Camera,Holographic Waveguide Display",Rechargeable Battery,WiFi,Windows,"Gaming, Industrial & Entertainment"
202,Mindset,Mindset,279.00,Worn on the Head,"EEG Sensor,Audio Speaker,Microphone,Accelerometer,Audio Jack",Rechargeable Battery,Bluetooth,iOS,Lifestyle
203,MindWave,NeuroSky Inc.,79.99,Worn on the Head,EEG Sensor,Disposable Battery,WiFi,OSX,Lifestyle
204,Mio Alpha,Mio,199.00,Worn on the Wrist,"Heart Rate Monitor,LCD Display,Button Interface,Clock",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
205,Alpha 2,Mio,199.00,Worn on the Wrist,"Heart Rate Monitor,LCD Display,Button Interface,Clock,Accelerometer",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
206,FUSE,Mio,169.00,Worn on the Wrist,"Heart Rate Monitor,LED Display,Button Interface,Clock,Accelerometer",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
207,Mio Link,Mio,99.00,Worn on the Wrist,"Heart Rate Monitor,Clock",Rechargeable Battery,ANT+,iOS,Fitness
208,SLICE,Mio,129.00,Worn on the Wrist,"Heart Rate Monitor,Accelerometer,Vibrator,OLED Display",Rechargeable Battery,ANT+,iOS,Fitness & Lifestyle
209,VELO,Mio,139.00,Worn on the Wrist,"Heart Rate Monitor,Button Interface",Rechargeable Battery,ANT+,iOS,Fitness & Lifestyle
210,Flash,Misfit,33.00,Worn on the Body (Anywhere),"Accelerometer,LED Display",Disposable Battery,Bluetooth,Android,Fitness
211,Shine,Misfit,119.95,"Worn on the Wrist, Neck & Body (Anywhere)","Clock,Accelerometer,LED Display",Disposable Battery,Bluetooth,iOS,Fitness & Lifestyle
212,Moff,Moff,44.99,Worn on the Wrist,"Audio Speaker,Accelerometer,Gyroscope",Disposable Battery,Bluetooth,iOS,Gaming
213,MonBaby,MonDevices,119.00,Worn on the Chest,Accelerometer,Disposable Battery,Bluetooth,iOS,Lifestyle
214,AN24,Monica Healthcare,,Worn on the Torso,"ECG Sensor,EMG Sensor,EKG Sensor",Rechargeable Battery,Proprietary,,Medical
215,iSport Freedom,Monster,209.00,Worn on the Head,"Audio Speaker,Microphone,Button Interface",Rechargeable Battery,Bluetooth,Blackberry,Entertainment
216,TimeWalker Urban Speed e-Strap,Montblanc,300.00,Worn on the Wrist,"OLED Display,Touch Interface,Vibrator",Rechargeable Battery,Bluetooth,iOS,Lifestyle
217,Moov,Mushroom Labs,120.00,Worn on the Wrist & Ankle,"Accelerometer,Gyroscope,Magnetometer",Rechargeable Battery,Bluetooth,iOS,Fitness
218,Moov Now,Mushroom Labs,59.95,Worn on the Wrist,"Accelerometer,Gyroscope,Magnetometer",Rechargeable Battery,Bluetooth,Android,Fitness & Lifestyle
219,OpenGo,Moticon,"1,795.00",Worn on the Feet,"Pressure Sensor,Accelerometer",Rechargeable Battery,ANT+,Android,Medical & Fitness
220,Moto 360,Motorola,249.00,Worn on the Wrist,"Pedometer,Microphone,Heart Rate Monitor,LCD Display,Touch Interface,Button Interface,Vibrator,Clock,Ambient Light Sensor",Rechargeable Battery,Bluetooth,Android,Lifestyle
221,Moto 360 2,Motorola,299.00,Worn on the Wrist,"Accelerometer,Altimeter,Barometer,GPS,Gyroscope,Magnetometer,Microphone,Pedometer",Rechargeable Battery,WiFi,Windows Mobile,Lifestyle & Fitness
222,Moto 360 Sport,Motorola,299.00,Worn on the Wrist,"Heart Rate Monitor,GPS,OLED Display,Touch Interface,Accelerometer,Magnetometer,Gyroscope,Ambient Light Sensor",Wireless Charging,Bluetooth,Android,Fitness
223,Hint,Motorola,149.99,Worn on the Ear,"Infrared Sensor,Microphone,Audio Speaker",Rechargeable Battery,Bluetooth,Android,Lifestyle
224,RS507,Motorola Solutions,881.00,Worn on the Fingers,"LED Indicator,Buzzer",Rechargeable Battery,Bluetooth,,Industrial
225,ZeBracelet2,MyKronoz,79.00,Worn on the Wrist,"Accelerometer,Audio Speaker,Microphone,OLED Display,Vibrator,Watch,USB",Rechargeable Battery,Bluetooth,iOS,Lifestyle
226,ZeFit,MyKronoz,59.00,Worn on the Wrist,"Accelerometer,OLED Display,Watch,USB",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
227,ZeFit2,MyKronoz,39.90,Worn on the Wrist,"Accelerometer,OLED Display,Clock,USB",Rechargeable Battery,Bluetooth,Windows Mobile,Fitness & Lifestyle
228,ZeFit2 Pulse,MyKronoz,79.90,Worn on the Wrist,"Accelerometer,OLED Display,Clock,Heart Rate Monitor,USB",Rechargeable Battery,Bluetooth,OSX,Fitness & Lifestyle
229,ZeNano,MyKronoz,129.00,Worn on the Wrist,"LCD Display,FM Tuner,Microphone,Pedometer,Touch Interface,Clock",Disposable Battery,Bluetooth,Blackberry,Lifestyle
230,ZeSplash,MyKronoz,129.00,Worn on the Wrist,"Watch,LCD Display,Touch Interface,Vibrator,Microphone,Audio Speaker,Pedometer",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
231,ZeSplash2,MyKronoz,129.90,Worn on the Wrist,"Watch,LCD Display,Touch Interface,Vibrator,Microphone,Audio Speaker,Pedometer,USB",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
232,"ZeWatch, ZeBracelet",MyKronoz,69.00,Worn on the Wrist,"LCD Display,FM Tuner,Microphone,Pedometer,Touch Interface,Clock",Disposable Battery,Bluetooth,Blackberry,Lifestyle
233,ZeWatch 2,MyKronoz,79.99,Worn on the Wrist,"Accelerometer,Audio Speaker,Microphone,Vibrator,Watch,OLED Display,Button Interface,USB",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
234,Clip,Narrative,279.00,Worn on the Torso & Neck,"GPS,Accelerometer,Magnetometer,Photo Camera,USB",Rechargeable Battery,,Android,Lifestyle
235,Narrative Clip 2,Narrative,199.00,Worn on the Chest & Body (Anywhere),"Camera,Video Camera,Accelerometer,Water Resistant,LED Indicator,GPS,Gyroscope,USB",Rechargeable Battery,WiFi,Windows,Lifestyle
236,June,Netatmo,49.00,"Worn on the Wrist, Neck & Chest",Ultraviolet Light Sensor,Rechargeable Battery,Bluetooth,iOS,Lifestyle & Medical
237,Neuroon,Inteliclinic,229.00,Worn on the Head,"Accelerometer,EEG Sensor,Thermometer,Oximeter,LED Indicator,Temperature Sensor,USB",Rechargeable Battery,Bluetooth,Android,Lifestyle
238,Nevo Watch,Nevo,329.90,Worn on the Wrist,"Accelerometer,Button Interface,Watch,Vibrator,LCD Display",Solar Power,Bluetooth,iOS,Lifestyle
239,NFC Ring,McLear Ltd,49.00,Worn on the Fingers,,No Power Required,NFC,Linux,Lifestyle
240,Nike+ Sportwatch GPS,Nike,140.00,Worn on the Wrist,"LCD Display,Clock,GPS,USB",Rechargeable Battery,Proprietary,Windows,Lifestyle & Fitness
241,Notch,Notch,379.00,Worn on the Body (Anywhere),,Rechargeable Battery,Bluetooth,Undisclosed,Fitness
242,Novii Wireless Patch System,Monica Healthcare,,Worn on the Torso,"ECG Sensor,EMG Sensor,EKG Sensor",,Bluetooth,,Medical
243,nECG Minder,Nuubo,,Worn on the Torso,"Accelerometer,Buzzer,USB",Rechargeable Battery,Bluetooth,Android,Lifestyle & Medical
244,Screeneye x,O-Synce,149.90,Worn on the Head,"Clock,Thermometer,Button Interface,Temperature Sensor,USB",Rechargeable Battery,ANT+,Windows,Fitness
245,Rift,Oculus,349.00,Worn on the Head,"Accelerometer,Gyroscope,OLED Display,USB",External Source,,Linux,Entertainment & Gaming
246,Bra,OMsignal,149.00,Worn on the Torso,"Heart Rate Monitor,Respiratory Monitor,Pedometer",Rechargeable Battery,Bluetooth,iOS,"Fitness, Medical & Lifestyle"
247,Autographer,OMG,399.00,"Worn on the Neck, Torso & Waist","Accelerometer,Magnetometer,GPS,Thermometer,Photo Camera,Video Camera,Temperature Sensor",Rechargeable Battery,Bluetooth,OSX,Lifestyle
248,Eagle,Optalert,,Worn on the Head,"Audio Jack,Audio Speaker,Backlight,LCD Display,Touch Interface,USB",Rechargeable Battery,WiFi,Windows,Lifestyle & Industrial
249,Ora-2,Optinvent,699.00,Worn on the Head,"GPS,Photo Camera,Video Camera,Accelerometer,Gyroscope,Magnetometer,Ambient Light Sensor,Microphone,Audio Speaker,Audio Jack,LCD Display,Button Interface,USB",Rechargeable Battery,WiFi,Windows Mobile,Entertainment & Lifestyle
250,OrCam,OrCam,"3,500.00",Worn on the Head,"Video Camera,Bone Conduction Speaker,Audio Jack,Button Interface,Gesture Interface",Rechargeable Battery,Undisclosed,Undisclosed,Lifestyle
251,Onyx,Orion Labs,99.00,Worn on the Chest,"Microphone,Audio Jack,Audio Speaker,Button Interface",Rechargeable Battery,Bluetooth,Android,Lifestyle
252,Baby Monitor,Owlet,250.00,Worn on the Feet,"Heart Rate Monitor,Oximeter",Rechargeable Battery,Bluetooth,iOS,Medical & Lifestyle
253,Oxstren,Oxstren,,Worn on the Hand,"Vibrator,Buzzer,Accelerometer,Gyroscope,Heart Rate Monitor,LED Display",Rechargeable Battery,Bluetooth,Android,Fitness
254,Pavlok,Behavioral Technology Group,149.00,Worn on the Wrist,"Vibrator,Buzzer,LED Indicator",Rechargeable Battery,Bluetooth,iOS,Fitness
255,Pebble 2,Pebble,129.95,Worn on the Wrist,"Heart Rate Monitor,Accelerometer,Gyroscope",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
256,Pebble,Pebble,150.00,Worn on the Wrist,"E-Paper Display,Accelerometer,Magnetometer,Backlight,Clock,Vibrator,Button Interface",Rechargeable Battery,WiFi,Windows,Lifestyle
257,Pebble Steel,Pebble,249.00,Worn on the Wrist,"E-Paper Display,Button Interface,Clock,Accelerometer,Magnetometer,Backlight",Rechargeable Battery,Bluetooth,Android,Lifestyle
258,Pebble Time,Pebble,199.99,Worn on the Wrist,"E-Paper Display,Button Interface,Clock,Accelerometer,Magnetometer,Backlight",Rechargeable Battery,Bluetooth,Android,Lifestyle
259,Pebble Time Round,Pebble,249.99,Worn on the Wrist,"E-Paper Display,Button Interface,Clock,Accelerometer,Magnetometer,Backlight",Rechargeable Battery,Bluetooth,Android,Lifestyle
260,Pebble Time Steel,Pebble,249.99,Worn on the Wrist,"E-Paper Display,Button Interface,Clock,Accelerometer,Magnetometer,Backlight",Rechargeable Battery,Bluetooth,Android,Lifestyle
261,Peregrine,Iron Will Innovations Canada,149.95,Worn on the Hand,"Touch Interface,USB",External Source,,Linux,Gaming & Entertainment
262,Safety Bracelet,PFO,,Worn on the Wrist,GPS,Rechargeable Battery,Cellular Network,Undisclosed,Lifestyle & Industrial
263,W/Me,Phyode,189.99,Worn on the Wrist,"LED Display,Heart Rate Monitor,Respiratory Monitor,Button Interface,Clock,ECG Sensor,EKG Sensor,USB",Rechargeable Battery,Bluetooth,Android,Medical
264,Life Tracker 1,Pivotal Living,12.00,Worn on the Wrist,"OLED Display,Button Interface,Vibrator,Accelerometer,Clock",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
265,Polar FT4,Polar,99.95,Worn on the Wrist,"Backlight,Button Interface,Heart Rate Monitor,LCD Display",Disposable Battery,Undisclosed,,Fitness
266,FT7,Polar,69.89,Worn on the Wrist,"Button Interface,Clock,Backlight,Heart Rate Monitor",Disposable Battery,Proprietary,Linux,Lifestyle & Fitness
267,H7 Heart Rate Monitor,Polar,99.00,Worn on the Chest,"ECG Sensor,Heart Rate Monitor,EKG Sensor",Disposable Battery,Bluetooth,Android,Fitness
268,Loop,Polar,99.00,Worn on the Wrist,"Clock,LED Display,Accelerometer,Button Interface,USB",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
269,M400,Polar,,Worn on the Wrist,"Accelerometer,GPS,Button Interface,Watch,USB",Rechargeable Battery,Bluetooth,,Fitness & Lifestyle
270,RCX5,Polar,329.50,Worn on the Wrist,"LCD Display,Button Interface,Clock",Disposable Battery,Undisclosed,Windows,Fitness
271,BodyGuardian,Preventice,,Worn on the Torso,"ECG Sensor,Respiratory Monitor,EKG Sensor",,Undisclosed,OSX,Medical
272,PROCOOL I,Cool Shirt Systems,799.00,Worn on the Torso,CO2 Canister,,,,"Medical, Fitness & Industrial"
273,Proteus Wearable Sensor,Proteus,,Worn on the Torso,,,Proprietary,Android,Medical & Fitness
274,QardioArm,Qardio,99.00,Worn on the Arm,"Heart Rate Monitor,Blood Pressure Meter",Rechargeable Battery,Bluetooth,Android,Fitness & Medical
275,QardioCore,Qardio,449.00,Worn on the Chest,"ECG Sensor,EKG Sensor,Thermometer,Temperature Sensor",Rechargeable Battery,Bluetooth,Android,Fitness & Medical
276,Qmedic,Qmedic,240.00,Worn on the Wrist,"Accelerometer,Button Interface,Thermometer,Temperature Sensor",Disposable Battery,Radio Frequency,None,Medical & Lifestyle
277,Toq,Qualcomm Connected Experiences Inc.,349.99,Worn on the Wrist,"Mirasol IMOD Display,Touch Interface,Clock",Rechargeable Battery,Bluetooth,Android,Lifestyle
278,Quell,Quell,249.00,Worn on the Legs,"Accelerometer,USB",Rechargeable Battery,Bluetooth,iOS,Lifestyle & Medical
279,Nabu,Razer,99.00,Worn on the Wrist,"Accelerometer,Altimeter,OLED Display,Clock,Touch Interface,USB",Rechargeable Battery,Proprietary,Android,Lifestyle & Fitness
280,OSVR,Razer,199.00,Worn on the Head,"Accelerometer,Gyroscope,OLED Display,Magnetometer,USB",,,,Gaming
281,HMT-1,RealWear,"1,500.00",Worn on the Head,"Audio Jack,Audio Speaker,Accelerometer,Gyroscope,Microphone,LCD Display,Clock,Depth Camera,Video Camera,Photo Camera,GPS",Rechargeable Battery,WiFi,Windows,Industrial
282,Jet,Recon Instruments,699.00,Worn on the Head,"Accelerometer,Audio Speaker,Barometer,Clock,DLP Display,GPS,Gyroscope,Microphone,Photo Camera,Video Camera,Touch Interface,Magnetometer,Thermometer,Temperature Sensor,USB",Rechargeable Battery,ANT+,Windows,Fitness
283,Snow2,Recon Instruments,399.00,Worn on the Head,"Accelerometer,Barometer,Clock,LCD Display,GPS,Gyroscope,Magnetometer,Button Interface,USB",Rechargeable Battery,ANT+,Windows,Fitness
284,Checklight,Reebok,149.98,Worn on the Head,"LED Indicator,Accelerometer,USB",Rechargeable Battery,,,Fitness
285,Reemo,Playtabase,,Worn on the Wrist,"Accelerometer,Gyroscope,Magnetometer",Rechargeable Battery,Bluetooth,OSX,Lifestyle
286,Remee,BitBanger Labs,95.00,Worn on the Head,"LED Indicator,Button Interface",Disposable Battery,,,Lifestyle
287,Mimo,Rest Devices,199.00,Worn on the Torso,"Respiratory Monitor,Accelerometer,USB",Rechargeable Battery,WiFi,Android,Lifestyle
288,ReWalk Personal 6.0,ReWalk Robotics,,Worn on the Body,"Motor,Accelerometer,Gyroscope",Rechargeable Battery,,,Medical & Lifestyle
289,SearchGPS,Rip Curl,400.00,Worn on the Wrist,"LCD Display,Button Interface,GPS,Accelerometer,Watch",Rechargeable Battery,Bluetooth,iOS,Lifestyle
290,Ritmo Pregnancy Audio Belt,Ritmo,79.95,Worn on the Body,Audio Jack,Rechargeable Battery,,OSX,Entertainment & Lifestyle
291,Rufus Cuff,Rufus Labs,279.00,Worn on the Wrist,"Microphone,Audio Speaker,Video Camera,Photo Camera,Accelerometer,Touch Interface,GPS,Gyroscope,Vibrator",Rechargeable Battery,Bluetooth,iOS,Industrial
292,Run Scribe Pro,Scribe Labs,149.00,Worn on the Feet,"LED Display,Accelerometer,GPS,Gyroscope",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
293,Safelet,Everfind,99.00,Worn on the Wrist,"Audio Speaker,GPS",Rechargeable Battery,Undisclosed,Undisclosed,Lifestyle
294,Gear,Samsung,299.00,Worn on the Wrist,"OLED Display,Photo Camera,Video Camera,Accelerometer,Gyroscope,Microphone,Audio Speaker,Touch Interface,Clock",Rechargeable Battery,Bluetooth,Android,Entertainment & Lifestyle
295,Gear 2,Samsung,249.00,Worn on the Wrist,"OLED Display,Photo Camera,Video Camera,Accelerometer,Gyroscope,Microphone,Audio Speaker,Touch Interface,Clock",Rechargeable Battery,Bluetooth,,Entertainment & Lifestyle
296,Gear 2 Neo,Samsung,,Worn on the Wrist,"OLED Display,Microphone,Accelerometer,Gyroscope,Audio Speaker,Pedometer,Video Camera,Photo Camera,Clock,Heart Rate Monitor,Vibrator,Touch Interface",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
297,Gear Circle,Samsung,54.00,Worn on the Ear,"Button Interface,Microphone,Vibrator,Audio Speaker,Touch Interface",Rechargeable Battery,Bluetooth,Android,Lifestyle
298,Gear Fit,Samsung,199.00,Worn on the Wrist,"Accelerometer,Gyroscope,Heart Rate Monitor,Touch Interface,Clock",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
299,Gear Fit 2,Samsung,180.00,Worn on the Wrist,"GPS,Heart Rate Monitor,Accelerometer,Gyroscope,Barometer,AMOLED Display",Rechargeable Battery,Bluetooth,Android,Fitness
300,Gear Live,Samsung,199.00,Worn on the Wrist,"Accelerometer,Gyroscope,OLED Display,Microphone,Magnetometer,Heart Rate Monitor,Vibrator",Rechargeable Battery,Bluetooth,Android,Lifestyle
301,Gear S,Samsung,349.99,Worn on the Wrist,"OLED Display,Heart Rate Monitor,GPS,Accelerometer,Magnetometer,Gyroscope,Ambient Light Sensor,Barometer,Touch Interface,Clock",Rechargeable Battery,Cellular Network,Android,Lifestyle & Fitness
302,Gear S2,Samsung,299.00,Worn on the Wrist,"Accelerometer,Gyroscope,Heart Rate Monitor,Barometer,Ambient Light Sensor,GPS",Wireless Charging,NFC,Android,"Entertainment, Fitness & Lifestyle"
303,Gear S3 Classic/Frontier,Samsung,349.00,Worn on the Wrist,"Accelerometer,Gyroscope,Barometer,Heart Rate Monitor,Ambient Light Sensor,GPS",Wireless Charging,Cellular Network,Android,"Entertainment, Fitness & Lifestyle"
304,Gear VR,Samsung,199.00,Worn on the Hand,USB,Rechargeable Battery,,Android,Gaming
305,Sense Pro,SenseCore,800.00,Worn on the Body (Anywhere),"ECG Sensor,Respiratory Monitor,Accelerometer,Thermometer,Temperature Sensor,EKG Sensor",,Undisclosed,Undisclosed,Medical & Fitness
306,SensoGlove,SensoGlove,89.00,Worn on the Hand,"Textile Strain Sensor,USB",Disposable Battery,,Windows,Entertainment
307,Sensus Pain Management System,NeuroMetrix,,Worn on the Legs,,Rechargeable Battery,,,Medical
308,Shot Tracker,Shot Tracker,99.00,Worn on the Arm,,Rechargeable Battery,Undisclosed,iOS,Fitness
309,Smart Cap,Edan Safe Pty Ltd,,Worn on the Head,"GPS,EEG Sensor",Rechargeable Battery,Bluetooth,Undisclosed,Industrial
310,Smart Diaper,Pixie Scientific,39.00,Worn on the Pelvis,,,,,Lifestyle & Medical
311,SMI Eye Tracking Glasses,SensoMotoric Instrument,,Worn on the Head,"Video Camera,Photo Camera,Microphone",Rechargeable Battery,WiFi,Android,Lifestyle & Industrial
312,Biosport,SMS Audio,149.95,Worn on the Head,"Heart Rate Monitor,Microphone,Audio Speaker",External Source,,iOS,Fitness & Lifestyle
313,Synch by 50 On-Ear Wireless,SMS Audio,199.95,Worn on the Head,"Audio Speaker,Microphone,Button Interface",Rechargeable Battery,Bluetooth,Android,Lifestyle
314,Tracks Air,Sol Republic,199.99,Worn on the Head,"Audio Speaker,Microphone",Rechargeable Battery,Bluetooth,Gi-OS,Lifestyle
315,MyoLink,Somaxis,99.00,Worn on the Body (Anywhere),"EEG Sensor,EMG Sensor,ECG Sensor,EKG Sensor",Disposable Battery,Bluetooth,Android,Medical & Lifestyle
316,LiveView™ MN800 Micro Display,Sony,80.00,Worn on the Wrist,"Clock,LCD Display,LED Indicator,Button Interface,Touch Interface",Rechargeable Battery,Bluetooth,Android,Lifestyle
317,Playstation VR,Sony,,Worn on the Head,"OLED Display,Accelerometer,Gyroscope,Audio Speaker,Microphone,USB",External Source,HDMI,Windows,Gaming
318,SmartBand SWR10,Sony,99.99,Worn on the Wrist,USB,Rechargeable Battery,Bluetooth,Undisclosed,Lifestyle & Fitness
